reader_id,stop_name,short_name,line_id,stop_lat,stop_lon,comment
8140,Fauntleroy SW & California SW WB,Fauntleroy & California WB,3,47.54486558,-122.3876819,
8141,California SW & Fauntleroy SW NB,California & Fauntleroy NB,3,47.54531096,-122.3871079,
8142,Fauntleroy Ferry SB,Fauntleroy Ferry SB,3,47.52300708,-122.3930745,
8143,Fauntleroy Ferry NB,Fauntleroy Ferry NB,3,47.52317824,-122.3928988,
8144,SW Barton & 35th Ave SW WB,SW Barton & 35th WB,3,47.52113871,-122.3772454,
8145,SW Barton & 26th Ave SW EB,SW Barton & 26th EB,3,47.52096482,-122.3673588,
8146,3rd & Pike SB,3rd & Pike SB,"3,4,5",47.609081,-122.3373274,
8147,3rd & Pike NB,3rd & Pike NB,"3,4,5",47.61020468,-122.3380852,
8148,3rd & Seneca SB,3rd & Seneca SB,"3,4,5",47.60643069,-122.3349094,
8149,3rd & Seneca NB,3rd & Seneca NB,"3,4,5",47.60702203,-122.3351508,
8150,Seneca & 2nd EB,Seneca & 2nd EB,,47.60687736,-122.3356417,
8151,3rd & Cherry SB,3rd & Cherry SB,"4,5",47.6037994,-122.3325035,
8152,3rd & Columbia NB,3rd & Columbia NB,"4,5",47.60419184,-122.3325893,
8153,3rd & Marian SB,3rd & Marian SB,3,47.60442333,-122.3330641,
8154,Prefontaine & Yesler NB,Prefontaine & Yesler NB,"4,5",47.60158938,-122.3297945,
8160,15th NW & NW 85 NB,15th & 85 NB,4,47.6911774,-122.376709,
8161,15th NW & NW 85 SB,15th & 85 SB,4,47.6901611,-122.3769021,
8162,15th NW & NW 70 SB,15th & 70 SB,4,47.67903803,-122.3768806,
8163,15th NW & NW 65 NB,15th & 65 NB,4,47.67987595,-122.3766714,
8164,15th NW & NW 65 SB,15th & 65 SB,4,47.67614131,-122.3768216,
8165,15th NW & NW 60 SB,15th & 60 SB,4,47.6724389,-122.376312,
8166,15th NW & NW Market NB,15th & Market NB,4,47.66847253,-122.3761189,
8167,15th NW & NW Market SB,15th & Market SB,4,47.66890964,-122.376312,
8168,15th NW & NW Leary NB,15th & Leary NB,4,47.66341839,-122.3760438,
8169,15th NW & NW Leary SB,15th & Leary SB,4,47.66314381,-122.3764837,
8170,15th W & W Dravus NB,15th & Dravus NB,4,47.64916012,-122.3760974,
